V Grade,days outdoors,age,sex,height,weight,span,years climbing,years training,# pullups,# pushups,ape index,Weighted hang ratio,Weighted pull ratio
4.0,3.3333333333333335,25,0.0,66.5,143.0,69.0,9.0,1.0,13.0,29.0,2.5,,
9.0,4.0,19,0.0,68.0,142.0,70.0,5.0,1.0,25.0,25.0,2.0,1.5985915492957745,1.704225352112676
6.0,21.666666666666668,35,0.0,66.0,127.0,65.0,3.0,1.0,9.0,21.0,-1.0,1.2755905511811023,1.4173228346456692
7.0,8.88888888888889,25,0.0,75.0,170.0,78.0,7.0,1.0,10.0,25.0,3.0,1.2352941176470589,1.2647058823529411
3.0,,34,0.0,70.1,147.0,,3.0,1.0,11.0,15.0,,1.1428571428571428,1.2925170068027212
11.0,7.444444444444445,30,0.0,72.0,170.0,75.0,9.0,9.0,26.0,45.0,3.0,1.6764705882352942,1.6764705882352942
9.0,10.0,32,1.0,62.0,117.0,61.0,9.0,5.0,12.0,33.0,-1.0,1.7264957264957266,1.5555555555555556
5.0,7.222222222222222,39,0.0,68.0,158.0,69.0,5.0,3.0,11.0,27.0,1.0,1.1455696202531644,1.3924050632911391
3.0,3.3333333333333335,31,1.0,62.0,130.0,64.0,11.0,1.0,11.0,18.0,2.0,1.0769230769230769,1.2692307692307692
10.0,3.3333333333333335,16,0.0,68.0,145.0,69.0,5.0,1.0,16.0,21.0,1.0,1.6551724137931034,1.5862068965517242
5.0,0.0,31,0.0,73.0,170.0,75.0,3.0,1.0,22.0,35.0,2.0,1.3823529411764706,1.6941176470588235
9.0,2.9166666666666665,27,0.0,74.0,158.0,75.5,7.0,3.0,10.0,15.0,1.5,1.379746835443038,1.2215189873417722
5.0,11.666666666666666,41,0.0,72.0,170.0,73.0,9.0,5.0,7.0,25.0,1.0,1.2470588235294118,1.3352941176470587
6.0,6.25,28,0.0,74.0,191.0,76.0,7.0,3.0,16.0,15.0,2.0,1.2513089005235603,1.5235602094240837
4.0,3.25,52,0.0,66.5,130.0,71.0,3.0,1.0,17.0,30.0,4.5,1.2076923076923076,1.476923076923077
5.0,2.0833333333333335,22,1.0,64.0,125.0,64.0,5.0,3.0,14.0,25.0,0.0,1.44,1.32
7.0,,21,0.0,72.0,170.0,72.0,5.0,1.0,18.0,30.0,0.0,1.5294117647058822,1.4117647058823528
7.0,5.0,34,0.0,67.0,143.0,70.0,11.0,1.0,15.0,27.0,3.0,1.1748251748251748,1.4895104895104896
10.0,0.0,31,0.0,66.0,130.0,64.0,7.0,3.0,21.0,52.0,-2.0,1.6538461538461537,1.8461538461538463
11.0,5.833333333333333,43,0.0,70.0,144.0,69.0,11.0,11.0,13.0,20.0,-1.0,1.75,1.5416666666666665
4.0,10.0,19,1.0,65.0,125.0,,3.0,0.0,6.0,8.0,,1.32,1.28
5.0,4.333333333333333,27,0.0,70.0,165.0,70.0,7.0,3.0,22.0,51.0,0.0,1.393939393939394,1.5151515151515151
5.0,4.333333333333333,26,1.0,66.0,135.0,67.0,7.0,5.0,12.0,20.0,1.0,1.4444444444444444,1.4074074074074074
6.0,3.3333333333333335,25,0.0,68.5,152.0,68.0,3.0,3.0,18.0,30.0,-0.5,1.4605263157894737,1.5855263157894737
4.0,5.0,24,0.0,70.5,176.0,72.8,3.0,0.0,10.0,30.0,2.299999999999997,1.09375,1.3602272727272728
5.0,11.88888888888889,35,0.0,68.25,143.0,69.5,5.0,3.0,24.0,37.0,1.25,1.5594405594405596,1.6993006993006992
7.0,3.888888888888889,28,0.0,72.0,164.0,75.0,3.0,0.0,17.0,38.0,3.0,1.5182926829268293,1.5914634146341462
9.0,4.444444444444445,54,0.0,77.0,167.0,77.5,5.0,5.0,19.0,24.0,0.5,1.4191616766467066,1.5988023952095807
8.0,5.0,27,1.0,62.0,122.0,62.0,3.0,1.0,12.0,12.0,0.0,1.3688524590163935,1.3688524590163935
3.0,1.1111111111111112,32,0.0,71.0,171.0,70.0,5.0,0.0,8.0,23.0,-1.0,1.263157894736842,1.3508771929824561
11.0,2.9166666666666665,23,0.0,67.0,155.7,72.0,3.0,1.0,23.0,40.0,5.0,1.8253050738599872,1.7064868336544636
6.0,2.5,28,0.0,70.0,150.0,72.0,1.0,1.0,28.0,,2.0,1.4333333333333333,1.9333333333333333
9.0,5.0,28,0.0,65.0,138.0,65.0,3.0,1.0,20.0,35.0,0.0,1.6159420289855073,1.7971014492753623
5.0,5.0,29,1.0,60.0,110.0,61.0,5.0,1.0,5.0,13.0,1.0,1.0909090909090908,
8.0,4.166666666666667,32,0.0,66.0,150.0,67.0,7.0,1.0,24.0,50.0,1.0,1.4333333333333333,1.7333333333333334
10.0,7.777777777777778,25,0.0,67.0,148.0,66.0,7.0,3.0,25.0,50.0,-1.0,1.8445945945945947,1.6283783783783785
7.0,3.3333333333333335,46,0.0,72.0,161.0,74.0,7.0,1.0,20.0,33.0,2.0,1.4037267080745341,1.5900621118012421
10.0,3.3333333333333335,27,0.0,70.0,140.0,74.0,11.0,11.0,20.0,28.0,4.0,1.7928571428571427,1.7928571428571427
6.0,5.0,28,0.0,68.0,147.0,69.0,7.0,5.0,17.0,27.0,1.0,1.4081632653061225,1.5782312925170068
8.0,3.3333333333333335,29,0.0,60.0,165.0,59.0,7.0,1.0,18.0,34.0,-1.0,1.3151515151515152,1.3757575757575757
9.0,6.111111111111111,32,0.0,76.0,170.0,76.0,7.0,5.0,21.0,35.0,0.0,1.4823529411764707,1.6176470588235294
5.0,3.3333333333333335,41,0.0,71.0,202.0,73.0,3.0,1.0,7.0,30.0,2.0,1.2277227722772277,1.3267326732673268
5.0,6.666666666666667,26,0.0,72.0,158.0,72.0,1.0,1.0,26.0,41.0,0.0,1.0949367088607596,1.7974683544303798
9.0,5.0,22,0.0,69.0,150.0,69.0,3.0,1.0,18.0,35.0,0.0,1.5333333333333332,1.6666666666666665
7.0,5.833333333333333,30,0.0,70.0,154.0,68.0,7.0,1.0,14.0,70.0,-2.0,1.3766233766233766,1.487012987012987
3.0,4.166666666666667,27,0.0,70.0,185.0,68.0,1.0,1.0,15.0,30.0,-2.0,1.135135135135135,1.3513513513513513
